
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.23 05:13:18  36.3527   27.1875       13.7      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:09:16  36.4115   27.0242        9.5      -.-  1.4  -.-   AKDENIZ                                           İlksel
2021.04.23 05:08:27  36.3207   27.1450       24.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:06:38  36.2850   27.1995       18.5      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:05:31  36.3107   27.2215       24.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 05:01:29  36.3772   27.1272        3.4      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 04:45:44  36.3532   27.1347       25.4      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 04:42:53  38.3423   38.7083        8.9      -.-  2.2  -.-   BENTKOY-KALE (MALATYA)                            İlksel
2021.04.23 04:28:38  39.0937   28.0592       13.5      -.-  1.1  -.-   SAGRAKCI-AKHISAR (MANISA)                         İlksel
2021.04.23 04:24:28  38.7230   24.6790        9.9      -.-  3.8  4.1   EGE DENIZI                                        İlksel
2021.04.23 04:18:31  36.3630   27.1750        7.8      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 04:04:16  36.3590   27.1705        7.7      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 04:01:18  36.4572   27.1402       20.9      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:58:22  38.9548   26.0730        9.7      -.-  2.0  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.23 03:52:35  36.3483   27.2798        4.9      -.-  1.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:48:51  36.3487   27.1762       16.1      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:46:36  36.3783   27.1962       11.9      -.-  1.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:37:57  36.4425   27.1532        5.0      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
